39.66,43.25,53.25,55.84,58.75,59.34,59.25,57.94,57.44,56.94,56.75,56.75,57.44,55.75,57.44,56.06,56.06,56.06,56.06,54.56,54.44,54.94,54.16,53.94,54.94,55.44,54.94,55.44,54.56,54.16,54.16,55.06,56.06,54.56,55.84,56.56,55.44,55.84,56.56,55.06,55.34,53.56,54.34,53.34,53.34,53.06,53.94,55.06,54.56,54.94,56.06,55.25,54.84,55.75,54.16,54.06,53.94,55.34,54.56,53.66,54.44,54.94,54.84,54.16,54.06,53.34,53.94,53.34,53.56,53.34,55.75,56.56,59.25,58.75,57.56,54.44,48.66,41.84,38.94,37.16
40.25,42.66,52.34,56.75,59.34,59.84,59.44,57.56,56.56,56.75,57.75,57.34,57.16,56.44,57.06,56.06,56.25,55.25,55.84,55.66,55.06,54.16,53.56,53.94,54.56,55.34,55.25,55.44,55.06,54.94,54.06,54.34,55.25,55.44,56.16,56.44,56.06,56.44,55.66,55.34,56.16,53.34,53.25,53.06,53.75,53.66,53.66,54.44,55.06,55.25,54.75,54.34,53.75,54.84,54.34,53.56,54.56,55.34,54.56,54.75,54.16,54.75,54.34,54.34,53.56,53.66,54.06,53.75,54.34,53.66,54.34,56.25,58.06,58.44,57.75,53.75,48.56,40.94,38.94,36.66
39.34,42.34,53.56,56.16,58.94,59.06,59.75,57.44,57.16,56.94,56.56,56.44,56.66,56.25,56.66,57.16,55.44,55.75,56.16,54.84,55.34,54.75,54.56,53.94,53.56,55.25,55.25,54.75,55.44,54.06,54.56,54.94,54.94,54.84,55.06,56.06,54.56,55.66,56.16,55.75,54.84,53.16,54.44,53.66,53.16,53.56,53.75,55.44,54.34,55.44,55.34,55.84,54.16,55.34,55.34,54.06,54.94,55.06,54.16,54.75,55.84,53.75,54.16,54.44,54.16,55.06,53.34,54.06,54.75,53.66,54.34,57.16,59.06,59.84,57.44,54.34,48.66,41.25,38.34,36.66
38.94,42.66,51.16,56.25,59.25,59.34,59.94,57.56,56.94,56.94,57.34,55.84,57.84,56.25,56.66,56.44,56.66,56.66,55.75,54.94,55.34,54.56,53.56,52.75,54.44,55.66,55.06,54.75,55.06,54.84,54.06,54.56,54.84,54.56,55.06,55.44,56.16,55.25,56.44,55.25,54.34,52.84,53.94,53.25,53.16,52.06,53.34,55.66,54.94,55.84,55.66,55.84,53.66,54.94,53.75,53.66,54.44,54.34,54.84,53.75,54.16,54.06,53.75,54.75,53.94,53.34,54.06,53.06,54.44,53.66,53.34,56.66,59.25,58.94,58.44,54.34,50.34,40.94,38.94,34.66
38.16,41.34,50.56,56.44,59.56,59.06,58.34,57.16,56.75,56.25,56.25,56.75,56.75,56.66,56.16,55.75,55.84,55.84,55.66,54.75,56.06,53.75,52.75,52.75,54.16,54.56,55.06,54.34,54.56,54.94,54.75,54.94,55.44,55.34,54.84,56.06,55.34,55.44,54.34,54.34,56.16,54.34,53.34,52.75,53.25,52.84,53.94,54.75,54.06,54.94,55.34,54.84,54.06,54.44,55.75,53.34,53.75,54.56,54.34,55.34,53.75,54.06,54.94,54.34,53.25,53.94,53.25,54.06,54.16,53.06,54.34,56.66,58.84,59.56,58.06,54.75,47.44,40.34,37.84,36.84
38.16,41.16,50.75,57.06,58.06,59.94,58.34,57.84,56.44,56.56,57.16,56.06,57.34,56.06,56.75,57.34,54.94,56.44,56.44,55.06,55.84,54.44,53.16,52.44,53.56,54.75,53.66,54.56,54.56,54.16,54.56,54.94,54.75,55.06,54.34,56.44,55.44,56.56,56.06,54.56,55.25,53.94,53.66,53.56,54.06,53.66,53.66,54.56,53.66,54.94,55.06,55.66,54.56,54.84,54.06,53.94,53.34,54.44,55.34,54.44,53.75,54.44,54.56,54.84,54.06,53.94,52.66,53.75,53.34,53.94,54.44,56.16,57.84,58.94,58.56,53.66,49.06,41.25,39.34,36.34
36.94,41.25,51.34,55.34,58.06,60.25,58.44,57.44,55.84,55.75,56.75,56.66,57.56,57.34,56.25,56.94,55.75,55.75,54.75,55.25,55.44,54.44,53.34,52.06,53.34,54.34,54.75,54.06,54.16,53.94,53.34,54.84,54.75,54.44,54.75,55.25,54.84,55.44,54.56,54.56,55.34,53.75,53.66,53.66,52.75,53.66,54.34,55.34,54.44,54.75,55.34,56.44,54.06,53.16,54.75,53.94,53.25,54.84,54.75,54.75,54.75,54.56,54.84,53.25,53.66,52.84,52.84,53.25,53.56,53.25,54.06,55.75,58.06,59.25,58.06,54.84,49.84,40.34,39.34,36.66
38.44,40.94,50.16,56.56,57.84,60.06,58.56,57.06,56.25,55.84,56.16,56.75,56.66,56.66,56.56,56.25,56.56,54.94,55.25,54.44,54.34,53.34,53.16,52.44,53.34,54.44,55.44,54.06,54.56,53.75,54.75,53.94,54.84,54.75,55.66,54.94,54.94,55.84,54.56,54.94,55.75,53.75,53.06,52.66,53.25,53.25,54.06,54.16,53.66,54.56,54.94,54.56,54.16,54.75,54.34,54.16,54.94,53.75,54.56,53.16,54.44,54.94,53.75,54.06,52.44,53.25,52.66,53.56,52.34,52.66,53.94,55.44,58.06,58.44,57.56,54.56,49.34,40.94,38.34,37.25
37.16,42.25,49.66,55.75,57.75,59.84,58.94,58.25,55.75,55.84,56.44,56.94,56.25,57.34,56.16,56.44,56.44,55.44,54.84,55.66,55.06,54.44,54.34,52.66,53.66,53.75,55.44,54.84,54.56,54.34,55.06,54.34,55.34,55.25,54.84,55.44,55.44,54.75,55.25,54.44,54.56,53.25,52.66,53.16,53.16,51.94,53.06,54.44,53.75,54.34,54.75,55.66,54.06,54.94,54.06,54.34,54.44,54.56,53.94,53.66,54.44,54.56,54.16,54.34,53.75,52.66,52.25,52.75,53.16,52.84,53.56,55.34,58.06,59.56,58.56,53.66,47.94,41.16,37.44,36.66
38.34,40.34,48.66,55.84,58.25,59.25,59.25,58.06,55.66,56.25,56.94,57.16,55.84,56.56,56.44,55.84,54.56,55.34,54.94,55.44,55.66,54.06,52.75,52.66,53.66,55.34,53.94,54.84,54.44,53.75,55.34,54.44,55.34,54.56,54.34,55.75,56.06,54.75,55.66,55.06,55.25,52.66,53.56,52.84,52.44,52.34,53.34,53.94,54.16,54.84,55.34,55.75,54.34,54.75,54.34,53.34,54.16,54.94,54.84,54.16,54.56,53.34,53.56,53.66,53.25,53.25,52.84,53.16,53.16,52.25,52.44,54.44,58.34,59.25,57.84,54.44,49.84,40.84,39.34,36.84
36.84,40.66,48.44,55.75,58.75,59.84,59.44,58.34,56.56,55.06,56.16,56.66,56.06,56.94,56.06,56.25,56.16,55.25,54.94,54.84,54.56,52.44,53.34,53.06,53.94,53.66,54.16,53.94,54.94,54.06,53.94,54.44,55.06,55.25,54.34,55.25,55.84,55.34,55.84,54.84,54.84,53.34,53.16,53.94,53.25,53.16,53.56,54.56,53.94,54.06,55.06,55.06,54.44,54.56,53.75,54.56,53.56,54.75,54.06,53.94,53.94,54.34,53.75,53.94,53.25,53.34,52.25,53.06,52.66,52.44,53.56,54.75,59.44,57.84,58.34,55.34,48.84,41.34,38.16,36.25
37.16,40.84,46.94,54.84,58.34,59.25,58.44,57.16,56.94,56.16,56.75,56.06,56.25,56.94,56.16,56.94,56.06,56.06,55.44,54.16,54.84,54.06,52.25,51.94,52.75,55.06,54.94,54.16,53.66,54.56,54.56,54.75,55.06,54.16,54.34,55.34,54.84,54.16,55.25,55.25,54.84,53.34,52.44,52.06,52.34,52.44,53.34,54.44,54.06,54.75,55.06,55.84,53.56,54.06,54.56,53.75,54.44,54.44,53.56,53.56,53.66,53.66,54.44,53.94,53.06,53.06,52.84,53.34,52.44,52.66,53.06,54.94,58.44,58.84,58.44,54.44,49.66,40.34,38.44,37.16
36.94,40.34,46.66,55.34,57.94,58.75,59.25,57.56,56.16,56.06,57.94,56.25,55.75,56.56,56.06,56.16,56.06,55.06,54.56,54.84,54.34,54.84,53.66,52.06,53.75,53.75,54.94,53.94,53.56,52.75,54.84,54.06,54.34,54.34,54.44,55.25,54.84,55.34,54.94,54.44,55.75,53.16,52.25,52.06,53.66,53.34,53.56,54.56,53.25,55.66,54.94,55.66,54.06,54.94,54.34,53.94,54.56,53.94,54.44,53.75,54.44,53.16,54.94,52.75,52.84,53.56,52.44,53.25,52.66,53.25,53.66,54.44,58.25,59.44,58.34,55.34,48.84,41.84,38.44,35.75
