36.66,36.84,36.34,37.84,37.75,38.44,38.16,38.94,39.34,39.56,39.56,40.75,41.34,41.34,42.84,41.75,42.06,41.56,42.44,42.75,42.84,42.44,42.66,42.66,42.16,42.84,42.06,41.75,42.66,43.06,41.75,42.44,42.34,43.16,42.75,43.66,43.84,43.16,43.75,43.75,44.06,43.75,44.16,43.75,43.44,42.06,42.16,44.34,44.75,45.16,46.44,48.44,49.34,49.16,50.06,50.06,49.16,49.94,50.75,49.84,50.84,49.66,50.44,51.44,50.25,49.56,45.34,40.16,38.75,37.44,37.84,36.06,36.25,36.06,36.06,36.34,35.94,35.75,36.66,35.16
37.84,37.56,37.75,38.75,39.06,39.94,39.06,38.16,39.84,38.06,38.44,39.84,39.25,40.25,39.84,40.16,39.66,40.56,40.25,40.84,39.84,39.94,40.25,40.25,40.75,39.84,40.25,41.06,39.34,40.56,40.75,41.34,40.84,41.75,40.44,41.56,41.75,41.84,41.34,40.84,41.56,41.84,40.16,41.34,39.94,40.44,41.34,41.34,39.84,41.56,41.16,42.06,42.06,42.84,42.34,42.84,43.34,44.34,44.66,44.75,45.56,46.56,46.56,46.94,46.94,47.56,43.66,39.56,37.84,37.16,37.25,36.66,36.56,36.25,35.66,35.44,35.34,35.94,36.34,35.66
36.94,38.34,37.84,38.44,39.06,38.06,40.25,37.16,37.84,38.44,39.06,39.06,37.56,38.75,40.25,40.16,39.56,38.94,40.25,39.66,39.84,39.34,40.56,39.56,40.84,41.06,39.84,39.66,39.94,38.94,39.56,39.94,39.25,40.56,41.16,40.25,39.34,40.16,40.56,40.56,40.56,39.34,40.75,39.66,40.25,40.16,39.56,40.16,40.44,41.75,40.84,39.34,40.44,40.56,41.44,41.56,40.84,42.66,41.84,42.44,41.16,42.06,42.06,43.44,43.44,43.16,41.06,39.84,38.34,39.25,37.44,37.56,35.44,36.94,36.66,36.06,36.56,35.66,35.34,36.84
37.75,38.44,39.25,38.06,37.56,38.16,38.06,37.25,38.66,38.44,37.44,37.84,39.34,38.06,38.94,39.25,38.34,39.25,40.84,39.84,39.84,39.56,38.75,40.16,40.25,39.34,39.66,38.94,39.56,39.34,39.25,39.84,40.16,38.94,39.84,39.56,39.84,39.56,39.84,39.66,40.25,39.84,38.94,38.75,39.34,39.94,40.25,39.25,41.06,40.75,40.16,39.34,39.84,40.44,40.16,39.34,39.34,40.44,40.25,39.94,40.75,39.25,40.44,40.56,40.44,40.16,41.16,39.66,39.84,38.94,38.94,37.84,37.16,38.66,37.75,38.44,38.34,37.25,37.44,37.25
38.06,37.25,38.44,38.06,37.16,37.56,38.16,38.06,38.16,38.16,37.84,38.16,37.75,38.66,38.75,40.16,38.06,37.25,39.34,38.44,39.56,37.75,38.94,39.56,40.56,39.56,39.56,38.34,39.06,39.66,40.44,39.06,39.34,39.66,39.66,39.94,40.75,40.75,39.06,39.25,39.94,39.56,40.16,39.94,39.25,38.75,40.75,39.66,40.75,40.56,38.94,38.66,39.25,39.34,38.94,37.16,39.66,39.66,38.75,39.84,40.56,39.56,39.56,41.16,40.44,40.25,39.84,38.94,39.25,39.34,39.25,37.84,38.66,37.56,38.44,37.44,38.16,37.75,38.34,37.16
38.06,37.56,37.16,36.84,39.06,37.84,38.34,36.84,39.34,38.06,38.94,37.25,38.66,38.94,39.56,39.25,38.75,39.56,38.34,40.25,39.25,39.06,39.56,39.25,39.94,39.34,38.94,39.94,39.66,39.84,39.25,39.56,39.25,39.34,39.94,41.06,38.44,39.66,38.75,39.34,39.06,38.16,39.56,39.06,38.66,39.94,39.25,38.66,40.44,38.75,39.66,39.56,38.75,38.34,39.34,38.66,39.56,37.75,40.16,38.75,39.34,38.44,40.84,38.75,38.75,40.44,39.06,39.25,40.25,38.44,38.94,38.75,37.56,39.34,37.75,37.75,38.34,38.34,38.75,38.06
38.94,36.34,37.75,38.16,38.34,37.44,37.44,37.75,37.56,38.06,38.06,38.16,38.34,38.75,39.06,38.16,39.06,38.94,38.75,39.34,39.06,38.75,39.56,39.06,38.34,38.66,38.94,39.25,38.94,38.75,38.34,39.34,39.25,40.16,39.94,39.56,39.66,39.25,39.34,39.25,38.44,39.25,38.94,40.25,39.25,39.56,40.16,39.66,39.84,39.66,39.25,38.44,38.16,38.34,40.16,39.25,38.75,39.84,40.25,39.56,39.84,38.34,39.34,40.84,39.84,39.06,38.44,38.94,37.75,39.66,39.25,39.25,38.16,37.16,38.16,38.75,39.25,38.44,37.75,37.56
37.75,37.25,37.75,37.56,37.75,37.84,38.44,37.75,37.84,37.56,38.34,38.34,38.44,38.16,38.34,37.75,40.16,38.75,39.56,37.56,39.25,39.84,38.66,38.75,39.34,38.94,38.75,39.34,37.84,38.34,39.56,38.94,38.75,38.44,38.66,38.66,39.25,38.94,37.84,39.06,38.75,39.25,37.75,38.66,39.84,39.84,39.34,38.94,40.16,39.94,38.34,37.84,37.56,39.25,38.66,39.66,39.06,38.66,39.56,39.34,38.34,38.66,38.34,39.94,38.66,38.75,39.25,38.66,37.44,38.75,38.06,38.06,39.34,37.84,38.16,37.44,37.44,37.75,37.56,38.34
37.84,36.25,39.06,38.16,37.75,37.75,38.16,37.44,37.56,37.75,36.34,38.66,37.25,38.34,38.16,38.44,37.84,39.34,38.94,38.34,38.34,38.66,38.94,39.25,39.06,39.34,38.94,39.25,39.84,39.56,38.44,40.16,38.94,39.06,39.56,39.34,38.44,39.56,38.34,39.25,39.34,38.94,38.66,38.75,39.06,39.56,38.75,38.66,40.25,38.44,39.25,39.94,39.56,38.75,38.75,38.16,39.66,38.94,38.44,38.66,38.75,39.94,39.34,39.84,38.44,39.06,38.44,38.94,38.75,38.44,37.75,38.66,37.56,39.34,39.06,38.16,38.94,38.16,38.94,37.56
37.84,37.56,38.94,38.34,38.16,38.16,37.84,38.34,38.75,38.75,37.44,38.66,38.44,37.75,39.34,38.66,38.75,38.94,37.44,39.56,38.75,40.25,38.16,39.06,39.06,39.25,39.06,37.84,38.66,38.34,39.66,39.56,38.75,39.94,39.94,40.25,37.75,39.34,38.75,39.66,39.84,39.06,39.84,40.25,38.94,38.75,39.34,38.75,40.25,38.75,38.66,40.44,38.66,38.75,39.56,38.66,38.66,38.75,38.16,37.75,38.75,39.06,38.34,39.06,38.94,39.84,39.06,38.94,38.75,39.56,37.84,37.84,37.84,38.75,38.34,38.75,37.75,38.06,37.25,38.75
